County,ReportingDate,confirmed_cases,deaths,CFR,outbreaks,Closed_Outbreaks,Open_Outbreaks,facilities
Marshall,2021-02-26,60,0,0.0,1,0,1,1
Schuyler,2021-02-26,42,13,0.30952380952380953,1,0,1,1
Menard,2021-02-26,39,9,0.23076923076923078,1,1,0,1
Hancock,2021-02-26,35,14,0.4,2,1,1,2
Hamilton,2021-02-26,35,4,0.11428571428571428,1,0,1,1
Piatt,2021-02-26,18,8,0.4444444444444444,2,1,1,2
Henderson,2021-02-26,16,5,0.3125,1,0,1,1
Scott,2021-02-26,9,0,0.0,2,1,1,2
Johnson,2021-02-26,7,4,0.5714285714285714,1,0,1,1
Calhoun,2021-02-26,2,0,0.0,1,1,0,1
